time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	4.94066e-324	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735008	0.629142	7.21178	-1.01122e-17	4.96805e-17	radar	81.1863	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16051	0.494921	7.2149	-0.127131	-0.0118492	lidar	2.18012	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25787	0.53314	7.1998	0.122281	0.0305245	radar	10.6187	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61596	0.595332	7.21355	0.161265	0.046224	lidar	74.6899	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85116	0.562258	5.99611	0.0268379	-0.227405	radar	79.7329	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16248	0.591834	5.99604	0.0414553	-0.172486	lidar	159.457	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37819	0.638266	5.57709	0.0601709	-0.311623	radar	181.258	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65448	0.655995	5.57536	0.049394	-0.293606	lidar	252.025	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92092	0.649994	5.50822	0.00348069	-0.437891	radar	260.784	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15586	0.646477	5.46312	-0.00954829	-0.407508	lidar	333.752	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44189	0.542467	5.50068	-0.158879	-0.827157	radar	298.753	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74525	0.42973	5.57486	-0.280185	-1.06026	lidar	552.384	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02542	0.514558	5.54054	-0.141685	-0.533265	radar	335.213	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29899	0.507106	5.51967	-0.134366	-0.4507	lidar	692.939	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55817	0.5462	5.41285	-0.0899923	-0.303726	radar	411.203	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74383	0.656104	5.2254	0.0140282	-0.0532204	lidar	727.517	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99505	0.655546	5.14035	0.00649422	-0.062872	radar	462.698	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29462	0.650324	5.20415	-0.00334267	-0.0755889	lidar	1150.24	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
